user,handle
Gareth Bale,garethbale11
Mesut Ozil,m10_official
Sergio Ramos,sergioramos
Rohit Sharma,rohitsharma45
Hardik Pandya,hardikpandya93
Suresh Raina,sureshraina3
Yuvaraj Singh,yuvisofficial
Harbhajan Singh,harbhajan3
Yuzvendra Chahal,yuzi_chahal23
Shikhar Dhawan,shikhardofficial
Mario Gotze,mariogotze
Thomas Muller,esmuellert
David Warner,davidwarner31
Faf Du plessis,fafdup
Dwayne Bravo,djbravo47
Michael Clarke,michaelclarkeofficial
Mitchel Johnson,mitchjohnson398
Stuart Broad,stuartbroad
Andrew Flintoff,aflintoff11
Jason Roy,jasonroy20
Wriddhiman Saha,wriddhi
Robin Uthappa,robinaiyudauthappa
David Miller,davidmillersa12
Luis Alberto,10_luisalberto
Bubba Watson,bubbawatson
Jimmie Johnson,jimmiejohnson
Justin Rose,justinprose99
Dale Earnhardt Jr.,dalejr
Bogdan Bogdanovic,bogdanbogdanovic
P.J. Tucker,pjtucker
Usman Khawaja,usman_khawajy
Sam Billings,sambillings
Tom Curran,tc59
Evan Fournier,evanfournier10
Spencer Dinwiddie,spencerdinwiddie
Pragyan Ojha,pragyanojha
Ish Sodhi,ic3_odi
Colin Munro,munro82
Wayne Parnell,parnygram
Vernon Philander,vernon_philander
Tabraiz Shamsi,shamsi90
Sunil Narine,sunilnarine24
Marlon Samuels,mnsamuels
Nicholas Pooran,nicholaspooran
Jason Day,mrjasonday
Brad Hogg,brad_hogg
Naman Ojha,namanojha
Heinrich Klaasen,heinie45
Andile Phelukwayo,andile_phehlukwayo
Rassie Van der dussen,rassie72
Andre? Moritz,andremoritz10
Raúl Jiménez,rauljimenezl15
Gouramangi Singh Moirangthem,gouramangi19
Renedy Singh,renedysingh
Rowllin Borges,rowllin23
Mehrajuddin Wadoo,wadoo26
Narayan Das,narayandas21
Eugeneson Lyngdoh,eugenesonlyngdoh
Pronay halder,pronay_halder
"Djelaludin ""Toto"" Sharityar",djelaludinsharityar
